number_processes,number_users,SYSTEM,None,User,VM
265,3,2,146,117,0
258,3,2,146,110,0
313,3,2,147,164,0
265,4,2,146,117,0
258,4,2,146,110,0
313,4,2,147,164,0
266,3,2,146,118,0
259,3,2,146,111,0
314,3,2,147,165,0
267,3,2,147,118,0
259,3,2,146,111,0
315,3,2,148,165,0
264,3,2,144,118,0
256,3,2,143,111,0
309,3,2,142,165,0
265,3,2,146,117,0
265,3,2,146,117,0
266,4,2,147,117,0
265,3,2,146,117,0
264,4,2,145,117,0
266,3,2,146,118,0
266,4,2,147,117,0
313,3,2,147,164,0
313,4,2,147,164,0
313,3,2,146,165,0
311,4,2,145,164,0
314,3,2,146,166,0
258,3,2,146,110,0
259,3,2,146,111,0
260,3,2,146,112,0
257,3,2,146,109,0
254,3,2,145,107,0
282,3,2,164,116,0
280,3,2,163,115,0
280,3,2,162,116,0
283,3,2,165,116,0
165,3,2,120,43,1
157,3,2,95,60,1
158,3,2,96,60,1
159,3,2,97,60,1
160,3,2,98,60,1
161,3,2,98,61,1
162,3,2,98,62,1
163,3,2,98,63,1
166,3,2,121,43,1
167,3,2,122,43,1
166,3,2,120,44,1
167,3,2,120,45,1
168,3,2,120,46,1
167,3,2,122,43,1
175,3,2,110,63,1
176,3,2,111,63,1
177,3,2,112,63,1
178,3,2,113,63,1
179,3,2,114,63,1
176,3,2,110,64,1
177,3,2,110,65,1
178,3,2,110,66,1
179,3,2,110,67,1
